Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
35.0,4.7,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,29,13.83
26.0,4.6,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24,20.18
36.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,47,10.91
24.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,9.19
32.0,4.7,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,21,1.55
39.0,4.8,Fog,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,38,13.97
32.0,4.7,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29,13.79
38.0,3.9,Stormy,Jam,2,Snack,motorcycle,1.0,Yes,Metropolitian,42,10.56
25.0,4.3,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,4.67
25.0,4.3,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,33,20.56
33.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Urban,15,17.3
20.0,4.8,Fog,Low,0,Meal,motorcycle,1.0,No,Urban,22,10.57
27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,3.11
34.0,4.7,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,36,14.15
37.0,4.7,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,37,4.53
30.0,4.2,Windy,Jam,0,Buffet,motorcycle,1.0,No,Urban,34,9.12
22.0,4.9,Stormy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,29,10.43
36.0,4.6,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,13.61
34.0,4.2,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,39,11.75
36.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,27,19.76
38.0,4.9,Sandstorms,High,2,Buffet,scooter,0.0,No,Metropolitian,30,6.21
23.0,4.7,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Urban,28,4.66
35.0,4.9,Stormy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,5.96
31.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,28,2.98
37.0,4.9,Sandstorms,Low,2,Drinks,scooter,0.0,No,Metropolitian,27,3.03
39.0,4.7,Sunny,High,2,Drinks,motorcycle,1.0,No,Metropolitian,23,1.55
34.0,4.3,Stormy,Jam,2,Snack,scooter,1.0,No,Urban,41,19.04
31.0,5.0,Stormy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,25,3.04
28.0,4.9,Sunny,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,21,12.44
27.0,4.7,Cloudy,Low,2,Meal,motorcycle,0.0,No,Urban,27,12.07
37.0,4.7,Fog,Jam,2,Snack,electric_scooter,1.0,No,Urban,27,4.67
22.0,4.7,Stormy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,4.66
28.0,4.9,Windy,Jam,2,Meal,scooter,0.0,No,Metropolitian,16,8.94
20.0,4.8,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,18,9.07
30.0,4.9,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,15,7.66
22.0,4.7,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,28,16.39
31.0,4.9,Fog,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,51,10.91
32.0,4.7,Windy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,29,16.61
31.0,5.0,Sunny,High,2,Buffet,electric_scooter,0.0,No,Metropolitian,16,6.13
36.0,5.0,Fog,Medium,1,Snack,scooter,1.0,No,Metropolitian,41,16.9
38.0,4.5,Cloudy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,21,3.11
33.0,4.7,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,29,20.25
23.0,4.9,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,14,1.52
23.0,4.9,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,37,13.63
25.0,4.9,Cloudy,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,17,4.61
32.0,4.1,Stormy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,17.07
36.0,4.3,Windy,Jam,1,Meal,scooter,1.0,No,Metropolitian,31,12.24
29.0,4.5,Fog,Low,0,Meal,motorcycle,0.0,No,Metropolitian,23,1.56
35.0,4.6,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,25,7.66
35.0,4.2,Windy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,33,16.6
22.0,4.5,Sandstorms,Low,2,Drinks,scooter,1.0,No,Urban,16,1.51
20.0,4.8,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,20,6.08
28.0,4.8,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Urban,13,3.09
30.0,5.0,Stormy,Low,2,Meal,scooter,0.0,No,Metropolitian,19,17.08
34.0,4.9,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,37,4.72
23.0,4.4,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,36,16.82
28.0,4.7,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,25,5020.0
39.0,4.1,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Metropolitian,33,4.66
25.0,4.7,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,19,4.72
33.0,4.6,Sunny,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,18,12.12
25.0,4.8,Sandstorms,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,26,4.66
25.0,4.2,Sunny,Jam,0,Drinks,motorcycle,2.0,Yes,Metropolitian,48,9.19
38.0,4.5,Sandstorms,Jam,1,Meal,scooter,1.0,No,Urban,26,9.07
31.0,4.8,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,35,16.6
36.0,3.8,Windy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,34,12.16
26.0,4.1,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,24,1.56
33.0,4.9,Stormy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,29,17.3
20.0,4.6,Sandstorms,High,0,Drinks,motorcycle,0.0,No,Urban,22,6.21
28.0,4.0,Cloudy,High,1,Drinks,motorcycle,1.0,No,Metropolitian,34,6.05
27.0,5.0,Sandstorms,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,4.54
27.0,4.5,Cloudy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,19,7.76
29.0,4.4,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,36,10.68
25.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,9.35
31.0,4.6,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Urban,26,6.22
22.0,4.7,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,13,9.35
29.0,4.6,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,16,10.57
23.0,4.7,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,20,6.23
32.0,4.2,Cloudy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,32,19.66
38.0,4.6,Sunny,Medium,2,Meal,scooter,0.0,No,Metropolitian,17,7.55
35.0,4.8,Stormy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,28,12.42
21.0,4.5,Sunny,Jam,1,Snack,motorcycle,1.0,No,Urban,24,13.97
34.0,4.2,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Urban,31,19.36
34.0,5.0,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,32,13.77
21.0,4.7,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,40,16.6
38.0,4.8,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Urban,28,7.86
37.0,4.8,Sandstorms,High,1,Drinks,scooter,1.0,No,Metropolitian,33,1.54
39.0,4.5,Sunny,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,28,6.08
24.0,5.0,Cloudy,Medium,2,Meal,scooter,1.0,No,Urban,32,10.57
27.0,3.7,Sunny,Jam,0,Snack,motorcycle,3.0,No,Urban,53,4.56
29.57,4.63,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,27,1.51
30.0,4.8,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,19,7.76
29.57,4.63,Cloudy,Jam,2,Drinks,scooter,2.0,No,Metropolitian,36,12.16
20.0,4.6,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Urban,13,12.26
21.0,4.0,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,13.79
27.0,4.8,Sunny,Medium,2,Meal,scooter,1.0,No,Urban,15,10.64
24.0,4.2,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,32,7.86
21.0,4.6,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,24,10.68
36.0,4.7,Sunny,Low,2,Snack,scooter,0.0,No,Urban,11,3.12
26.0,4.9,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,13.83
34.0,4.7,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,29,12.12
30.0,4.4,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,31,4.67
22.0,4.6,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,20,1.49
25.0,4.7,Sandstorms,Low,1,Snack,scooter,0.0,No,Urban,15,7.33
33.0,4.9,Sunny,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,24,7.77
23.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,17,3.12
35.0,3.9,Stormy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,43,16.72
28.0,4.8,Sandstorms,Low,1,Meal,scooter,1.0,No,Urban,17,13.68
26.0,4.8,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,16,19.84
